transaction_id,type,amount,date,description,account_id,expense_id,income_id,bill_id,saving_id
77,Transfer,3307.3995183269,2015-06-27,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,11,,,,
78,Saving,1685.4885389554,2015-10-09,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",190,58,28,,
79,Income,13249.4198018099,2015-02-08,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",148,,,,
80,Saving,159.0118231984,2019-11-05,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",156,157,3,,195
81,Saving,1781.2663212976,2022-07-05,Integer ac neque. Duis bibendum.,193,,2,170,
82,Transfer,4994.9850261664,2024-04-17,Cras non velit nec nisi vulputate nonummy.,113,,18,,
83,Bill,1320.0597506417,2019-02-13,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",181,163,100,,
84,Transfer,813.5428752008,2017-06-05,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",43,,55,,
85,Transfer,2154.1732169759,2017-11-04,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",144,,,,
86,Income,22222.185868626,2017-09-30,Nulla tellus.,90,,88,,
87,Saving,776.9375384865,2021-07-14,Integer a nibh.,169,,83,,197
88,Expense,315.3132087103,2021-02-01,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,165,,,,
89,Expense,107.8949350638,2016-04-26,Cras in purus eu magna vulputate luctus.,162,137,,40,
90,Transfer,188.167068316,2022-06-29,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,144,,,,
91,Income,11234.4191063957,2021-10-18,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",183,,,,
92,Income,5587.5899816396,2023-06-11,Morbi ut odio.,44,,170,,
93,Saving,1777.7918260641,2021-03-23,Duis bibendum. Morbi non quam nec dui luctus rutrum.,149,,115,,66
94,Income,3666.4939378802,2015-01-16,Sed sagittis.,29,,,35,
95,Income,22548.0656016805,2023-04-16,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",27,40,30,,
96,Bill,2217.0126833296,2020-10-16,Duis at velit eu est congue elementum.,67,,,,
97,Transfer,2875.2995869904,2016-06-19,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",28,,43,,
98,Income,36590.7802729318,2022-11-30,Nulla nisl.,78,,147,,
99,Transfer,2719.0320791314,2016-10-01,Praesent id massa id nisl venenatis lacinia.,96,,,,
100,Expense,6048.735152906,2023-04-24,Duis ac nibh.,198,,140,,
101,Transfer,1334.5369236843,2021-10-12,In hac habitasse platea dictumst.,190,75,,,188
102,Bill,398.0302003646,2016-10-17,Nunc rhoncus dui vel sem.,24,,,,
103,Expense,410.4338824835,2024-12-16,Pellentesque ultrices mattis odio. Donec vitae nisi.,137,,,79,
104,Bill,4932.162407423,2020-07-09,In quis justo.,21,,71,179,
105,Income,13413.1333076748,2015-08-04,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",74,,,,
106,Income,1916.3659869284,2021-08-16,Nulla facilisi.,184,,,117,
107,Saving,1300.1660517888,2018-12-06,Pellentesque ultrices mattis odio.,96,,19,,
108,Transfer,4995.2427362211,2023-07-14,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,5,,92,,
109,Saving,319.4139630835,2016-07-26,Sed vel enim sit amet nunc viverra dapibus.,82,,5,,
110,Income,10155.7165888347,2015-09-30,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,33,,183,,
111,Saving,947.4676170572,2019-03-21,Curabitur convallis.,5,,28,,
112,Saving,442.50593598,2021-08-19,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,103,,,,114
113,Bill,1119.7797383533,2021-03-18,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",119,,,,
114,Saving,402.2669797146,2023-12-30,Praesent id massa id nisl venenatis lacinia.,157,72,,,132
115,Transfer,1809.1251214076,2017-04-18,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",86,,,,
116,Expense,293.8077969592,2020-02-18,In hac habitasse platea dictumst.,53,68,,,
117,Bill,1443.5250968847,2017-10-21,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",45,115,,,
118,Expense,404.9909290806,2019-12-19,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",154,,4,89,
119,Bill,302.9630252132,2020-06-08,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",41,63,150,,
120,Expense,74.555815346,2015-09-24,Maecenas tincidunt lacus at velit.,40,,,,
121,Saving,1512.6294745351,2017-12-14,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",122,,,,
122,Bill,307.1909496636,2017-02-23,In quis justo. Maecenas rhoncus aliquam lacus.,63,,,,
123,Income,3220.8952502963,2019-07-08,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,115,,50,,
124,Transfer,4601.739666562,2020-05-29,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",6,,,67,
125,Bill,745.7498292126,2020-02-10,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",146,,,,
126,Bill,4916.465097752,2025-05-03,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",123,,,,
127,Saving,1730.5337926376,2021-05-02,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",192,152,,,
128,Expense,27.4381705872,2022-09-13,Sed ante.,119,15,186,80,
129,Expense,356.7181422291,2024-08-10,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,6,,,39,
130,Income,8505.4339049372,2020-04-15,Maecenas pulvinar lobortis est.,200,27,79,,190
131,Expense,73.5911322134,2021-08-02,Nunc rhoncus dui vel sem.,42,132,144,,
132,Saving,847.2731706244,2023-05-22,Integer ac leo.,97,,,,177
133,Transfer,3416.681697972,2023-11-11,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",54,,,,
134,Transfer,3146.390112336,2022-06-01,Suspendisse potenti. Nullam porttitor lacus at turpis.,123,,,,
135,Transfer,2450.90358003,2019-01-02,Duis at velit eu est congue elementum.,130,111,,,
136,Expense,346.6151910261,2020-04-15,Duis bibendum.,40,,,,
137,Transfer,4822.2219451578,2020-04-11,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",70,99,,104,
138,Saving,66.7107126255,2017-10-18,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",45,,,82,
139,Expense,498.7643263504,2017-07-07,In hac habitasse platea dictumst.,170,95,200,,
140,Bill,297.5727358266,2017-09-13,Nullam molestie nibh in lectus. Pellentesque at nulla.,97,50,,,
141,Income,24790.1984588662,2018-07-07,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,10,134,,,79
142,Expense,487.7875051016,2023-01-26,Praesent lectus.,74,133,,,86
143,Income,7287.3124992094,2020-06-04,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",112,,,146,
144,Income,12184.7614124912,2023-03-31,Donec ut dolor.,199,48,108,26,
145,Transfer,4836.2868616364,2019-09-03,Vivamus vestibulum sagittis sapien.,43,,,,
146,Saving,644.9160665156,2019-04-05,Etiam faucibus cursus urna. Ut tellus.,140,7,,,
147,Bill,4274.0270067636,2017-10-30,Proin eu mi.,189,,,,
148,Expense,47.2413905252,2018-05-24,Suspendisse potenti.,142,,,,
149,Transfer,4184.358854363,2017-12-22,Etiam justo.,24,,,,
150,Income,14014.4044440732,2021-08-23,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,4,,,,
151,Transfer,1559.9791765653,2021-08-26,Donec dapibus.,99,52,,,
152,Saving,121.4354343547,2021-10-22,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",192,,,73,
153,Transfer,1677.9564715818,2023-08-20,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,156,,,,
154,Income,585.8438997577,2023-02-06,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",75,16,,,
155,Expense,99.2061383785,2022-12-08,Donec posuere metus vitae ipsum.,94,17,,,
156,Expense,140.6883135757,2021-10-11,Phasellus sit amet erat.,126,,3,,
157,Income,23975.3231478186,2023-04-10,Quisque ut erat.,78,,,145,
158,Bill,957.9832144116,2016-03-29,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,30,,91,147,
159,Expense,205.1531204751,2016-10-31,Praesent lectus.,98,,,,
160,Income,6882.8232899542,2019-09-13,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,19,96,88,,
161,Expense,152.8400239999,2022-05-15,Nulla ut erat id mauris vulputate elementum. Nullam varius.,12,,179,179,
162,Expense,184.4852103506,2022-08-07,Nullam sit amet turpis elementum ligula vehicula consequat.,87,,,,
163,Bill,2766.3314031405,2017-07-04,Aenean lectus. Pellentesque eget nunc.,94,,,,
164,Saving,1478.3777888198,2019-08-03,Morbi non lectus.,132,,,,
165,Saving,1568.6632888206,2018-11-11,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",47,,,,
166,Bill,85.022134092,2020-12-24,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",82,51,59,135,
167,Income,13239.7615722246,2017-02-15,Etiam justo. Etiam pretium iaculis justo.,110,,,,178
168,Income,14253.420713872,2019-04-22,In hac habitasse platea dictumst.,56,,181,105,
169,Income,4050.7113880678,2021-09-26,Sed sagittis.,76,,,,49
170,Bill,4432.5199247664,2018-09-23,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",151,,,,
171,Income,9956.7039377604,2024-12-06,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",118,158,,,
172,Expense,392.0440509226,2017-01-12,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",79,,,30,
173,Income,4910.5289993675,2018-06-20,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",178,,,,
174,Expense,379.8343036942,2019-07-30,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,139,,,,
175,Income,13421.9554883069,2019-10-29,Ut tellus. Nulla ut erat id mauris vulputate elementum.,42,,,,
176,Expense,182.2485120889,2021-02-11,Nulla ac enim.,49,19,,,
177,Saving,660.0418146033,2023-03-17,Morbi vel lectus in quam fringilla rhoncus.,22,91,,,
178,Bill,1107.6471477675,2022-11-08,Proin eu mi.,161,,,,
179,Bill,1317.5499545124,2024-07-01,Sed accumsan felis.,77,,95,,
180,Income,13084.729526654,2025-03-08,Suspendisse potenti. Nullam porttitor lacus at turpis.,136,,,,
181,Bill,1118.8818348061,2021-12-25,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",179,,,28,
182,Income,13281.6275998777,2021-10-27,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",140,,,163,
183,Bill,3453.9589677486,2017-11-16,Aliquam erat volutpat. In congue.,110,,148,,
184,Saving,1947.5798329309,2025-11-11,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,186,74,50,167,
185,Transfer,1134.9026458992,2024-07-26,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",99,,185,108,
186,Bill,1184.9539882175,2018-01-21,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,30,,,,
187,Transfer,3511.5036281265,2015-02-11,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,180,,,115,
188,Bill,1293.6204639334,2023-01-27,Etiam pretium iaculis justo.,88,,,57,
189,Bill,297.5568038326,2019-11-03,Fusce consequat.,157,151,58,,
190,Transfer,4790.4044285975,2022-01-03,In congue. Etiam justo.,143,,89,160,119
191,Income,12881.7173899276,2017-12-17,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",16,,,86,
192,Bill,822.7901440799,2021-05-23,Aliquam erat volutpat. In congue.,177,,,,
193,Expense,87.1753444993,2016-11-26,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",130,,161,,
194,Income,6229.5515892343,2025-03-20,Quisque ut erat. Curabitur gravida nisi at nibh.,8,198,,,
195,Transfer,4206.6766434956,2024-08-03,Aliquam erat volutpat. In congue.,139,,,,
196,Expense,385.2849274884,2019-12-17,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",26,,,,
197,Saving,400.6183950141,2017-08-27,Pellentesque at nulla.,29,,84,,
198,Income,10379.4390340321,2020-02-13,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",50,164,,,
199,Income,3366.6433147389,2024-04-22,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",60,,,,
200,Income,10476.4463010961,2023-12-28,Quisque ut erat. Curabitur gravida nisi at nibh.,126,,,10,
