bill_id,household_id,bill_type,amount,billing_period_start,billing_period_end,due_date,is_paid
8153-721720,HH-####,Gas,148.12,2/3/2022,11/25/2019,8/6/2022,true
6111-529586,HH-####,Gas,66.46,2/6/2022,9/3/2021,7/13/2020,false
8391-989507,HH-####,Internet,289.13,1/2/2022,1/1/2016,3/5/2023,false
1165-274122,HH-####,Rent,147.25,1/8/2022,9/3/2022,4/15/2020,false
1993-799771,HH-####,Gas,119.94,1/9/2022,5/5/2015,6/10/2022,false
7481-670279,HH-####,Water,287.05,2/9/2022,12/4/2019,11/10/2020,true
7071-943378,HH-####,Gas,51.62,1/7/2022,8/27/2025,11/17/2021,false
0916-351428,HH-####,Rent,200.75,1/9/2022,11/4/2020,7/23/2019,false
7765-646665,HH-####,Water,150.95,1/4/2022,4/14/2025,10/12/2020,true
4506-816641,HH-####,Electricity,199.38,2/2/2022,11/21/2020,12/10/2018,false
1300-554970,HH-####,Internet,247.27,2/2/2022,11/19/2016,2/26/2018,false
9086-849344,HH-####,Electricity,184.82,2/1/2022,8/29/2020,6/23/2021,true
0686-924362,HH-####,Rent,79.29,1/7/2022,5/17/2017,7/30/2020,false
0732-585520,HH-####,Internet,74.12,1/8/2022,4/30/2017,7/27/2021,true
4006-228675,HH-####,Rent,261.7,1/3/2022,8/26/2020,3/15/2021,true
8940-207740,HH-####,Gas,92.8,2/7/2022,12/10/2016,10/7/2019,true
3310-568488,HH-####,Internet,123.13,1/1/2022,4/16/2020,5/13/2024,false
8070-820493,HH-####,Water,62.62,1/1/2022,4/13/2015,11/10/2022,false
3243-612503,HH-####,Water,114.07,1/4/2022,3/6/2021,9/18/2020,false
5960-686218,HH-####,Internet,172.98,2/9/2022,12/6/2022,7/24/2017,false
1627-333846,HH-####,Gas,50.51,1/1/2022,4/30/2021,12/30/2021,false
5646-152166,HH-####,Water,201.79,1/2/2022,8/13/2023,8/21/2018,true
8289-721944,HH-####,Gas,243.06,1/5/2022,3/22/2019,11/28/2023,false
5681-760641,HH-####,Internet,86.89,2/1/2022,9/11/2020,1/9/2025,true
9264-448468,HH-####,Internet,118.94,1/4/2022,8/24/2019,9/13/2016,true
6464-396122,HH-####,Water,256.32,2/5/2022,2/16/2020,5/1/2016,false
7713-764502,HH-####,Electricity,148.52,1/3/2022,2/5/2024,5/5/2016,true
4915-040447,HH-####,Internet,125.2,1/5/2022,6/10/2020,5/6/2016,false
6583-441406,HH-####,Water,66.09,2/5/2022,8/5/2017,2/11/2022,true
5836-628336,HH-####,Electricity,233.64,2/1/2022,1/5/2017,5/16/2022,true
9415-678139,HH-####,Water,208.26,2/8/2022,9/30/2019,1/18/2021,false
0085-646142,HH-####,Water,242.21,1/5/2022,10/26/2020,8/4/2018,true
6711-011834,HH-####,Water,214.54,2/1/2022,10/26/2019,5/7/2016,false
4832-019258,HH-####,Rent,147.35,2/9/2022,6/20/2025,1/10/2019,true
9893-473945,HH-####,Electricity,120.89,1/8/2022,1/5/2020,8/4/2023,false
9981-871127,HH-####,Electricity,82.7,2/2/2022,11/29/2018,11/26/2018,true
7033-169612,HH-####,Internet,288.65,2/3/2022,2/6/2015,6/4/2016,true
6054-948321,HH-####,Gas,255.03,2/6/2022,7/2/2018,12/30/2024,false
2013-529318,HH-####,Electricity,186.87,2/8/2022,11/1/2017,7/16/2024,false
4339-037564,HH-####,Internet,256.57,1/8/2022,12/15/2024,11/21/2022,true
4746-938760,HH-####,Electricity,117.3,2/7/2022,11/9/2018,5/21/2015,true
6415-017519,HH-####,Rent,161.17,2/4/2022,8/8/2018,9/17/2016,false
3954-236728,HH-####,Water,251.25,1/6/2022,5/14/2015,4/10/2022,true
6606-450192,HH-####,Rent,279.78,2/2/2022,12/3/2022,2/13/2022,false
5247-583155,HH-####,Internet,172.66,2/5/2022,10/23/2025,11/4/2022,false
3570-349581,HH-####,Water,156.49,1/4/2022,10/21/2021,12/16/2015,true
6758-054813,HH-####,Rent,224.81,1/7/2022,2/22/2018,10/13/2023,true
5559-328531,HH-####,Electricity,101.34,1/6/2022,10/9/2018,3/20/2022,false
9252-449703,HH-####,Gas,242.93,1/9/2022,8/1/2015,10/12/2017,false
2620-132684,HH-####,Gas,93.39,2/4/2022,7/28/2016,6/11/2020,false
4127-980934,HH-####,Gas,290.84,1/1/2022,11/16/2021,2/14/2018,false
4056-481567,HH-####,Gas,189.51,1/3/2022,1/11/2022,5/18/2015,true
2039-492898,HH-####,Gas,244.8,2/4/2022,9/8/2021,6/4/2018,true
4833-881950,HH-####,Water,177.78,1/3/2022,8/2/2024,12/8/2016,true
1471-133968,HH-####,Electricity,55.71,2/6/2022,2/25/2018,7/24/2019,true
9876-548419,HH-####,Internet,147.51,1/8/2022,4/3/2025,1/3/2018,true
6578-759518,HH-####,Gas,171.98,1/3/2022,6/8/2021,12/6/2016,false
9785-810814,HH-####,Rent,272.45,2/7/2022,12/14/2021,1/15/2016,false
2387-597893,HH-####,Internet,73.27,2/3/2022,1/5/2018,3/26/2021,false
1073-855830,HH-####,Gas,239.46,1/1/2022,11/16/2023,12/20/2016,false
9632-849190,HH-####,Rent,268.5,1/1/2022,2/14/2021,9/15/2021,true
4937-512838,HH-####,Rent,119.05,2/8/2022,7/2/2022,3/20/2016,false
8781-949543,HH-####,Water,191.44,1/5/2022,4/28/2015,9/7/2018,false
9781-769315,HH-####,Water,84.79,2/9/2022,11/27/2020,7/23/2021,true
5551-149485,HH-####,Internet,271.89,1/2/2022,6/8/2020,6/5/2017,false
9884-307559,HH-####,Gas,51.09,2/2/2022,3/29/2016,10/16/2019,false
5177-294815,HH-####,Rent,193.68,1/9/2022,11/30/2025,8/28/2024,true
9994-419910,HH-####,Rent,141.32,2/4/2022,3/29/2024,2/12/2022,true
8493-710696,HH-####,Electricity,86.89,2/2/2022,11/19/2018,11/28/2019,false
8440-813238,HH-####,Water,255.73,2/1/2022,5/14/2025,9/15/2020,true
7683-454153,HH-####,Electricity,192.69,2/5/2022,9/17/2018,2/11/2022,true
6774-688870,HH-####,Electricity,69.23,2/7/2022,3/28/2022,2/23/2020,true
3955-658206,HH-####,Internet,165.51,1/8/2022,3/24/2019,5/21/2023,true
0388-261581,HH-####,Rent,152.88,2/8/2022,7/2/2019,6/21/2015,true
8776-455564,HH-####,Electricity,129.19,1/1/2022,10/27/2021,9/7/2018,false
1045-951208,HH-####,Water,104.49,1/2/2022,4/26/2017,1/10/2018,false
2594-810844,HH-####,Water,263.81,1/7/2022,12/10/2019,10/25/2016,true
2136-487237,HH-####,Electricity,221.91,2/4/2022,2/17/2021,8/19/2016,true
2384-179188,HH-####,Water,269.06,1/8/2022,5/12/2019,9/22/2020,false
4573-312442,HH-####,Internet,248.23,1/7/2022,10/12/2025,3/13/2016,false
9848-380545,HH-####,Gas,208.63,2/2/2022,12/10/2022,8/28/2022,false
5448-588857,HH-####,Electricity,51.44,1/5/2022,9/23/2018,12/1/2017,true
6847-085694,HH-####,Water,247.82,2/1/2022,1/14/2024,2/26/2023,false
1210-684194,HH-####,Electricity,109.78,2/2/2022,1/29/2022,10/11/2022,false
0863-104005,HH-####,Internet,112.59,1/4/2022,2/12/2015,4/14/2024,true
8807-863343,HH-####,Internet,230.49,1/4/2022,11/26/2022,1/2/2023,false
1767-311372,HH-####,Electricity,220.75,2/8/2022,6/20/2016,4/15/2021,true
8999-673040,HH-####,Internet,78.49,2/9/2022,7/16/2016,8/29/2017,false
2409-347962,HH-####,Rent,148.58,2/1/2022,10/21/2016,12/15/2022,true
5306-891781,HH-####,Internet,93.48,1/2/2022,12/10/2025,6/8/2018,true
8536-048492,HH-####,Water,170.69,2/1/2022,8/19/2024,5/4/2018,false
7908-480604,HH-####,Rent,284.74,2/6/2022,4/3/2022,6/10/2021,false
2066-822590,HH-####,Internet,125.89,2/3/2022,7/2/2025,4/20/2020,true
9789-417672,HH-####,Water,126.83,2/2/2022,12/7/2023,4/12/2015,false
6057-890562,HH-####,Internet,230.69,2/5/2022,5/18/2024,11/28/2022,true
9428-295534,HH-####,Rent,172.64,1/2/2022,6/30/2018,10/11/2022,false
9153-963180,HH-####,Rent,285.13,2/3/2022,1/6/2018,4/27/2016,true
2677-180160,HH-####,Gas,147.19,2/3/2022,4/4/2015,12/6/2021,true
0555-764786,HH-####,Water,232.29,2/7/2022,10/21/2017,3/9/2021,false
6952-620365,HH-####,Rent,200.85,2/1/2022,5/5/2017,7/6/2015,true
2684-414035,HH-####,Electricity,238.73,2/3/2022,5/11/2015,2/28/2016,true
0586-531501,HH-####,Internet,93.72,1/4/2022,3/1/2015,6/9/2022,true
8090-341238,HH-####,Internet,53.7,1/9/2022,4/18/2015,7/27/2019,false
7171-828693,HH-####,Rent,249.86,1/1/2022,4/7/2019,7/9/2022,false
5726-579584,HH-####,Water,119.25,1/7/2022,12/20/2016,6/23/2015,true
3600-383027,HH-####,Electricity,109.83,2/6/2022,11/16/2020,5/25/2017,false
9468-324221,HH-####,Gas,64.42,2/3/2022,9/20/2024,1/11/2021,true
7135-443644,HH-####,Water,107.64,2/4/2022,7/24/2021,12/27/2019,true
9413-014639,HH-####,Electricity,140.79,1/5/2022,2/18/2019,9/16/2020,true
4916-270697,HH-####,Water,204.27,1/2/2022,4/8/2021,3/12/2021,true
9995-723417,HH-####,Water,243.76,1/1/2022,12/18/2019,1/12/2016,true
2790-604606,HH-####,Internet,127.33,1/3/2022,12/10/2017,3/5/2017,true
6203-110037,HH-####,Electricity,97.65,2/8/2022,10/21/2023,1/28/2017,true
3211-845454,HH-####,Internet,223.26,1/9/2022,9/22/2021,3/1/2017,true
5998-681975,HH-####,Internet,141.34,2/1/2022,1/3/2023,7/5/2021,false
7522-545361,HH-####,Water,229.4,1/4/2022,3/5/2025,5/29/2023,false
7599-337713,HH-####,Gas,70.51,1/7/2022,11/7/2015,10/9/2017,true
5986-378569,HH-####,Electricity,153.94,1/5/2022,1/2/2019,7/4/2023,true
7321-247851,HH-####,Electricity,104.47,2/7/2022,12/23/2016,9/6/2015,false
4583-543391,HH-####,Rent,91.11,1/5/2022,10/30/2018,8/1/2016,false
5787-701601,HH-####,Internet,240.92,1/8/2022,3/22/2017,5/16/2015,false
5737-411284,HH-####,Electricity,140.99,2/3/2022,1/18/2017,7/6/2023,false
4719-073579,HH-####,Water,81.39,1/5/2022,2/26/2021,12/29/2015,true
5046-170640,HH-####,Internet,134.85,1/5/2022,2/1/2019,8/16/2015,true
9849-298661,HH-####,Internet,297.11,2/9/2022,12/10/2019,11/4/2024,true
1187-160030,HH-####,Rent,207.02,2/9/2022,7/20/2016,5/11/2015,false
8830-092794,HH-####,Rent,233.98,2/3/2022,8/11/2023,12/14/2019,true
3838-273910,HH-####,Electricity,286.02,1/4/2022,11/19/2018,6/20/2015,true
3663-119353,HH-####,Internet,270.08,1/5/2022,8/9/2025,7/20/2023,false
7785-432089,HH-####,Internet,295.43,1/1/2022,5/28/2024,1/14/2016,true
4124-558225,HH-####,Electricity,117.47,1/8/2022,11/29/2019,2/18/2021,false
0629-658299,HH-####,Electricity,212.2,1/5/2022,8/2/2020,11/28/2024,false
6849-488001,HH-####,Water,229.6,1/8/2022,4/23/2022,2/9/2022,false
0561-414830,HH-####,Gas,170.65,1/4/2022,3/12/2017,3/27/2023,false
8875-289061,HH-####,Internet,88.6,1/3/2022,11/7/2025,12/27/2023,true
0361-565160,HH-####,Internet,249.6,1/1/2022,6/14/2020,4/28/2023,true
3436-985721,HH-####,Electricity,106.64,1/1/2022,8/14/2017,11/15/2015,true
9591-923693,HH-####,Water,60.23,2/7/2022,7/19/2019,9/18/2022,true
4408-740837,HH-####,Electricity,161.88,1/4/2022,3/23/2020,8/9/2015,true
2028-250752,HH-####,Electricity,287.8,1/9/2022,3/14/2021,11/21/2016,true
4691-352622,HH-####,Gas,54.66,2/1/2022,5/10/2025,8/3/2018,true
0546-631756,HH-####,Gas,215.01,1/4/2022,4/28/2022,9/3/2016,true
3633-840715,HH-####,Gas,119.07,1/3/2022,3/31/2016,6/14/2020,true
7059-468499,HH-####,Rent,179.93,2/4/2022,10/17/2016,1/3/2018,false
6449-115582,HH-####,Water,188.91,2/7/2022,11/8/2017,3/20/2016,true
6132-288444,HH-####,Electricity,213.24,1/1/2022,10/12/2015,8/25/2020,false
5302-778912,HH-####,Rent,179.88,1/1/2022,4/17/2018,1/20/2018,false
8024-938962,HH-####,Electricity,190.32,2/1/2022,7/15/2020,5/4/2021,true
1480-032081,HH-####,Gas,167.86,2/6/2022,8/2/2022,7/13/2024,false
3162-442553,HH-####,Electricity,74.97,2/8/2022,12/28/2020,4/10/2015,false
1368-915444,HH-####,Internet,288.02,2/1/2022,11/25/2015,11/22/2023,true
4163-578799,HH-####,Water,143.56,2/4/2022,4/21/2025,3/25/2023,true
9658-879268,HH-####,Internet,117.39,2/9/2022,8/4/2015,9/20/2020,false
4979-948676,HH-####,Water,292.61,1/4/2022,7/31/2018,3/11/2024,false
7597-964098,HH-####,Water,292.61,1/2/2022,3/23/2024,12/13/2020,true
4255-923547,HH-####,Electricity,138.09,1/3/2022,4/17/2018,9/25/2022,false
3154-088703,HH-####,Water,173.39,1/7/2022,10/30/2016,4/28/2015,true
0344-550653,HH-####,Rent,160.95,2/7/2022,4/24/2019,9/18/2023,false
5862-569150,HH-####,Internet,279.83,1/3/2022,2/12/2018,4/8/2021,false
1037-207455,HH-####,Rent,50.02,1/5/2022,6/10/2019,3/28/2022,true
6134-716709,HH-####,Internet,295.48,1/1/2022,11/29/2016,6/22/2017,false
8329-508825,HH-####,Gas,80.14,1/7/2022,10/19/2021,6/19/2020,true
8595-137084,HH-####,Gas,196.38,1/1/2022,12/17/2020,8/5/2016,true
3667-818022,HH-####,Electricity,105.7,2/7/2022,5/24/2024,1/3/2016,true
9219-683304,HH-####,Water,67.16,2/6/2022,8/21/2019,11/29/2021,false
7639-339031,HH-####,Internet,212.18,2/3/2022,12/27/2025,4/10/2016,false
6444-933986,HH-####,Gas,179.6,1/2/2022,10/25/2021,7/16/2019,false
0184-839735,HH-####,Electricity,87.48,1/4/2022,8/5/2018,9/28/2020,true
1756-047108,HH-####,Water,92.65,2/3/2022,9/19/2017,9/19/2020,true
5459-003540,HH-####,Gas,138.4,2/4/2022,12/31/2015,10/29/2023,false
7975-336348,HH-####,Internet,236.16,2/3/2022,3/14/2016,3/9/2023,true
5396-161098,HH-####,Internet,213.05,2/9/2022,8/6/2025,4/23/2024,false
7147-331135,HH-####,Rent,90.96,1/8/2022,6/26/2023,1/4/2018,true
4239-844358,HH-####,Gas,136.76,2/6/2022,11/29/2021,3/7/2019,true
6240-196101,HH-####,Internet,85.94,1/1/2022,8/17/2025,12/29/2023,false
6103-647909,HH-####,Electricity,293.76,2/1/2022,7/10/2016,2/17/2017,false
7231-866802,HH-####,Rent,258.63,1/2/2022,4/20/2023,8/23/2023,true
3492-186189,HH-####,Internet,103.54,2/3/2022,2/11/2019,1/26/2019,false
6021-062840,HH-####,Electricity,237.74,2/2/2022,2/15/2020,2/16/2018,true
5764-462221,HH-####,Gas,156.11,1/4/2022,1/27/2021,11/27/2017,false
0319-103433,HH-####,Rent,183.41,1/5/2022,3/19/2020,1/31/2022,true
1585-674028,HH-####,Electricity,127.8,2/9/2022,12/4/2023,9/19/2020,true
3313-286407,HH-####,Rent,270.07,2/2/2022,9/23/2023,8/22/2018,false
8507-323882,HH-####,Gas,64.17,2/2/2022,6/11/2020,12/12/2015,true
3679-444778,HH-####,Rent,59.15,2/6/2022,9/26/2017,8/25/2019,false
1177-296515,HH-####,Electricity,78.3,2/3/2022,7/23/2020,9/24/2022,true
0938-296457,HH-####,Electricity,162.21,1/5/2022,3/5/2018,3/20/2022,true
7600-272064,HH-####,Water,103.97,1/7/2022,11/17/2019,3/22/2024,true
5756-930040,HH-####,Water,235.92,2/4/2022,3/6/2016,1/1/2021,true
3802-513925,HH-####,Internet,153.83,2/9/2022,12/4/2020,5/28/2021,false
2132-929552,HH-####,Internet,225.69,2/1/2022,3/27/2015,8/29/2020,false
3717-437432,HH-####,Water,168.34,2/1/2022,2/24/2016,3/24/2019,false
9446-832650,HH-####,Rent,88.16,2/8/2022,2/3/2019,10/27/2020,false
3216-676269,HH-####,Gas,100.46,1/8/2022,2/21/2022,5/17/2020,false
9045-332076,HH-####,Electricity,233.89,2/4/2022,5/7/2020,4/25/2020,true
0249-088932,HH-####,Electricity,160.88,1/1/2022,11/8/2022,11/10/2016,false
6388-071878,HH-####,Water,240.49,1/2/2022,9/29/2024,11/15/2020,true
3686-583071,HH-####,Rent,217.8,1/6/2022,1/27/2022,3/17/2016,true
7437-928383,HH-####,Gas,128.91,2/8/2022,8/3/2015,6/9/2023,false
7425-065306,HH-####,Rent,223.11,2/8/2022,8/1/2023,4/19/2019,false
6940-338161,HH-####,Electricity,243.33,2/5/2022,7/27/2019,6/10/2021,true
3882-088297,HH-####,Rent,198.36,2/8/2022,7/6/2021,12/2/2024,false
2271-342942,HH-####,Internet,56.1,1/3/2022,11/3/2016,7/16/2019,true
8878-249178,HH-####,Water,219.9,2/8/2022,1/5/2020,8/21/2023,false
0895-471670,HH-####,Gas,261.05,2/6/2022,2/20/2024,12/20/2017,true
2795-208666,HH-####,Internet,82.09,2/4/2022,11/21/2025,12/12/2022,true
4930-057081,HH-####,Rent,97.61,2/9/2022,9/22/2021,11/4/2022,false
1160-240393,HH-####,Internet,290.26,1/5/2022,10/27/2024,12/31/2020,false
5468-897799,HH-####,Water,181.89,1/1/2022,12/20/2016,5/26/2021,true
2962-378606,HH-####,Internet,121.48,2/6/2022,12/9/2018,5/14/2021,false
9103-941650,HH-####,Rent,144.3,1/6/2022,1/11/2018,1/3/2025,false
5960-024527,HH-####,Rent,218.22,2/9/2022,11/30/2017,4/23/2024,false
4028-193353,HH-####,Internet,74.25,1/7/2022,9/27/2016,12/14/2018,true
1633-649606,HH-####,Rent,142.2,1/5/2022,3/31/2019,9/20/2022,true
8617-850506,HH-####,Internet,180.96,2/7/2022,4/22/2023,11/27/2015,false
7055-023410,HH-####,Electricity,195.69,2/5/2022,8/8/2017,8/18/2019,true
0252-895843,HH-####,Rent,194.51,1/9/2022,3/28/2025,5/24/2016,false
7340-628162,HH-####,Gas,161.3,2/3/2022,5/29/2025,7/21/2022,true
6109-473958,HH-####,Internet,130.32,1/5/2022,9/5/2017,7/14/2020,true
4750-147114,HH-####,Water,108.87,1/5/2022,1/19/2016,3/12/2020,true
9510-138369,HH-####,Water,204.0,2/9/2022,10/14/2019,2/26/2016,false
2428-477249,HH-####,Rent,107.24,2/1/2022,11/24/2022,4/5/2016,true
1919-254843,HH-####,Rent,228.89,2/7/2022,8/12/2016,6/19/2017,true
5636-736496,HH-####,Rent,62.24,2/2/2022,12/3/2023,2/6/2024,true
1847-809375,HH-####,Water,113.78,1/6/2022,6/15/2015,11/28/2018,false
2521-714421,HH-####,Electricity,156.97,2/2/2022,10/6/2025,2/18/2015,false
7089-401866,HH-####,Gas,109.09,2/2/2022,9/16/2023,8/28/2020,true
0053-852185,HH-####,Rent,74.61,1/2/2022,2/7/2019,9/24/2019,true
7908-424040,HH-####,Electricity,255.41,1/1/2022,8/4/2022,5/11/2017,false
6037-409389,HH-####,Internet,91.42,2/2/2022,2/18/2015,3/10/2023,true
4048-057994,HH-####,Water,98.11,2/9/2022,10/17/2018,1/1/2016,false
1750-163600,HH-####,Internet,296.64,2/7/2022,4/1/2017,8/18/2024,true
3983-889270,HH-####,Gas,295.47,2/6/2022,6/24/2021,5/9/2017,false
4008-415226,HH-####,Rent,138.41,1/1/2022,1/14/2025,3/7/2023,false
4945-180574,HH-####,Electricity,215.26,2/4/2022,2/9/2015,12/17/2023,true
