saving_id,user_id,saving_type,goal_amount,current_amount,start_date,target_date
87509-194,1,Vacation Fund,2895.24,3885.73,6/19/2024,10/20/2022
21682-676,170,Long-term Investment,3030.5,4175.66,2/8/2021,4/22/2023
22580-773,62,Emergency Fund,1312.26,4211.41,5/14/2024,5/27/2024
48195-952,142,Education Savings,1538.77,2572.41,2/11/2024,2/25/2024
85244-401,194,Emergency Fund,2836.98,1491.6,7/18/2015,6/3/2023
22537-100,40,Education Savings,2839.81,512.49,3/11/2025,6/5/2024
21732-905,98,Long-term Investment,3741.73,551.28,1/2/2019,10/29/2025
00733-586,65,Education Savings,1084.39,150.1,4/10/2018,3/10/2022
87796-536,39,Education Savings,2862.3,1466.45,11/5/2019,2/25/2023
78029-792,5,Education Savings,4715.48,2049.7,10/1/2024,10/4/2025
64317-348,22,Long-term Investment,2962.92,47.27,2/7/2021,8/22/2025
68996-199,163,Vacation Fund,4453.26,3781.85,1/23/2022,3/26/2024
35984-059,104,Education Savings,4208.78,1983.31,4/25/2023,1/25/2022
86016-505,28,Emergency Fund,4975.4,2539.58,10/19/2016,8/21/2024
39291-123,53,Long-term Investment,3412.45,519.77,11/21/2024,6/28/2024
66946-884,136,Vacation Fund,2475.04,3332.93,11/17/2016,4/10/2023
55593-205,113,Education Savings,960.88,1574.05,8/25/2024,1/27/2023
04203-824,37,Education Savings,1270.15,4024.06,1/22/2024,7/8/2024
48137-072,2,Emergency Fund,2849.69,1366.21,6/28/2023,11/22/2023
46895-006,55,Education Savings,1556.73,241.66,1/2/2019,9/5/2025
19078-189,188,Long-term Investment,4080.05,295.08,8/3/2023,3/28/2025
15649-841,132,Education Savings,3883.91,2620.22,11/26/2016,2/1/2024
11053-510,14,Emergency Fund,4803.25,3250.07,10/26/2017,2/12/2023
59373-375,131,Emergency Fund,549.84,204.11,3/22/2023,12/21/2023
03616-548,49,Education Savings,3272.75,2794.17,12/27/2023,7/14/2023
79868-170,86,Education Savings,315.05,520.64,7/22/2023,5/30/2022
66043-542,69,Emergency Fund,2345.4,2942.34,8/17/2020,6/12/2024
47744-571,105,Vacation Fund,210.29,4693.81,10/26/2019,4/28/2024
49015-649,37,Vacation Fund,1659.44,2095.14,1/25/2022,8/6/2022
65463-317,148,Vacation Fund,1796.24,4251.01,6/2/2016,1/7/2023
60415-947,167,Vacation Fund,1834.13,1033.12,2/25/2023,11/4/2025
28204-899,81,Emergency Fund,1023.51,163.04,2/1/2018,9/18/2024
25806-168,143,Emergency Fund,4266.35,3330.31,8/20/2020,1/26/2025
25367-901,93,Vacation Fund,4944.57,2859.94,1/31/2024,8/18/2023
25680-630,121,Vacation Fund,1630.3,2966.94,9/2/2023,7/9/2025
02043-305,102,Emergency Fund,4216.04,3509.08,5/24/2015,6/4/2022
85010-085,142,Education Savings,413.85,4862.65,3/11/2021,3/24/2025
25828-799,179,Education Savings,1979.19,2772.3,12/19/2024,9/16/2024
44763-070,33,Emergency Fund,4534.98,3794.32,6/26/2020,5/8/2022
84248-708,154,Emergency Fund,4857.74,2056.2,7/10/2016,4/15/2023
43313-716,12,Long-term Investment,2306.69,3071.9,8/15/2022,12/15/2025
18707-204,69,Education Savings,2050.28,3806.98,10/30/2015,8/13/2025
98717-190,68,Emergency Fund,571.45,2468.14,1/21/2025,9/9/2022
01899-155,138,Vacation Fund,4709.02,1010.78,5/14/2024,3/25/2025
74628-920,90,Long-term Investment,3440.04,1966.18,10/20/2021,8/19/2025
74733-012,19,Vacation Fund,4164.45,4396.08,1/16/2021,6/4/2023
17875-725,195,Long-term Investment,2976.12,1294.61,8/24/2016,1/17/2024
88332-901,189,Emergency Fund,2844.12,2860.22,11/28/2021,3/16/2022
60801-297,183,Vacation Fund,2077.09,2335.48,7/15/2019,1/1/2022
07894-293,54,Emergency Fund,4493.81,1987.19,11/5/2022,2/21/2023
76455-277,169,Education Savings,4614.08,1908.64,11/15/2016,5/27/2025
29978-221,33,Education Savings,1224.52,1545.64,10/24/2017,7/8/2022
86573-045,64,Vacation Fund,4690.93,3845.63,4/9/2023,8/17/2024
93733-405,155,Long-term Investment,1355.17,1699.23,7/31/2024,8/22/2023
29884-535,35,Vacation Fund,370.67,640.94,10/3/2020,5/1/2024
65211-568,193,Emergency Fund,2622.26,4763.64,3/24/2020,4/6/2025
86229-445,149,Long-term Investment,1310.04,547.21,5/2/2023,1/8/2025
69215-081,189,Education Savings,1311.78,2606.33,8/10/2016,11/4/2025
28338-172,136,Education Savings,4818.13,7.81,5/16/2020,7/8/2022
64605-045,7,Vacation Fund,747.75,2159.62,5/12/2018,2/23/2023
23194-160,11,Emergency Fund,940.25,2790.93,3/22/2018,2/18/2024
86859-380,97,Vacation Fund,1109.99,3356.43,1/15/2022,11/29/2022
96566-009,87,Vacation Fund,3934.41,2036.95,7/22/2016,7/20/2025
96512-782,66,Long-term Investment,1620.57,2511.1,8/6/2023,2/28/2023
72063-006,91,Education Savings,1425.56,4289.04,7/3/2018,6/11/2024
12978-586,90,Long-term Investment,2817.14,1208.84,2/14/2022,3/30/2024
53873-048,123,Emergency Fund,2064.62,139.97,2/26/2020,8/13/2024
09437-741,2,Long-term Investment,4927.17,2572.07,2/23/2023,1/5/2023
93031-040,117,Vacation Fund,1350.42,1702.13,7/2/2023,7/6/2022
31972-540,64,Long-term Investment,4634.48,754.63,12/22/2017,3/16/2024
69848-512,200,Emergency Fund,1034.49,1162.91,9/1/2016,1/30/2023
06942-653,102,Long-term Investment,4660.32,4771.7,6/15/2017,12/13/2025
19747-436,193,Education Savings,3512.28,828.34,5/5/2015,5/19/2023
04575-650,25,Long-term Investment,3672.51,3830.63,9/7/2023,12/18/2023
44592-454,167,Emergency Fund,2209.61,3693.1,5/17/2021,3/9/2025
35532-142,173,Emergency Fund,3146.51,1015.64,8/7/2023,1/26/2022
58389-098,25,Vacation Fund,523.1,4756.43,4/1/2018,10/8/2023
57449-055,7,Education Savings,1603.95,4272.36,3/4/2025,5/4/2023
29587-920,56,Long-term Investment,1590.54,3860.14,9/16/2020,1/18/2023
43260-305,123,Education Savings,1450.19,634.23,6/10/2021,2/9/2023
01999-271,20,Vacation Fund,2255.64,4889.51,11/24/2016,7/15/2024
40416-541,71,Emergency Fund,3090.58,443.02,5/2/2021,8/29/2023
36131-315,173,Education Savings,2613.75,4465.25,10/12/2016,9/17/2022
27954-201,20,Long-term Investment,4998.48,1728.98,8/8/2019,2/15/2023
57182-233,130,Education Savings,755.84,308.36,11/21/2024,2/19/2025
18209-144,122,Vacation Fund,1217.94,3152.37,1/6/2018,7/11/2022
25533-801,139,Education Savings,1304.72,328.72,11/26/2018,2/25/2022
19779-047,166,Emergency Fund,1311.04,3612.32,4/13/2016,9/23/2022
95370-044,164,Education Savings,538.34,1513.13,8/21/2015,3/13/2025
22999-635,127,Education Savings,1138.1,2181.87,10/14/2016,12/31/2023
54629-024,151,Vacation Fund,3542.62,1659.02,9/5/2019,2/23/2022
10466-465,101,Emergency Fund,1475.74,4331.42,8/2/2018,7/7/2025
95649-447,142,Emergency Fund,1683.58,1358.88,4/3/2017,7/20/2025
76903-190,141,Vacation Fund,2026.12,969.18,6/24/2019,5/30/2024
35928-614,94,Emergency Fund,4020.39,2492.47,7/19/2019,12/15/2024
38979-424,38,Emergency Fund,2865.13,4895.48,2/25/2022,3/4/2025
58830-588,193,Vacation Fund,741.06,107.8,3/20/2022,4/17/2023
37248-074,161,Education Savings,4317.47,631.18,11/21/2023,3/11/2022
44775-280,111,Education Savings,1165.41,4385.58,3/23/2019,1/20/2025
35632-683,29,Vacation Fund,3518.73,4845.82,1/29/2020,9/19/2024
53001-577,64,Emergency Fund,756.48,2976.39,7/22/2019,6/27/2024
93478-241,142,Long-term Investment,4383.16,3644.86,12/8/2021,5/23/2023
51316-299,81,Emergency Fund,1878.77,2675.83,9/8/2015,11/13/2022
12268-718,148,Vacation Fund,4980.62,1012.16,5/30/2025,2/15/2024
57568-100,35,Vacation Fund,2320.73,2715.81,12/8/2022,9/5/2023
23724-003,140,Vacation Fund,3498.65,4913.5,7/27/2018,9/22/2025
35546-866,143,Long-term Investment,4748.45,581.53,11/16/2018,4/3/2024
57193-180,171,Education Savings,1595.86,3113.58,2/9/2020,2/3/2025
60454-727,195,Emergency Fund,912.54,4283.07,8/17/2023,7/6/2023
01539-161,22,Vacation Fund,2875.33,4096.72,6/5/2017,4/13/2024
84334-520,59,Long-term Investment,1504.08,4451.79,1/21/2016,12/11/2024
18474-970,43,Vacation Fund,1037.01,36.46,7/2/2020,2/7/2025
69964-497,124,Vacation Fund,4615.08,756.45,12/3/2018,5/23/2025
50243-538,147,Long-term Investment,4162.84,4026.4,8/20/2016,12/9/2022
04100-845,59,Emergency Fund,1278.65,640.78,10/22/2016,3/9/2023
17911-297,156,Vacation Fund,774.54,3390.14,11/1/2024,10/13/2024
56278-277,87,Education Savings,1573.31,1063.58,8/21/2016,5/25/2025
92449-313,49,Education Savings,2658.64,2286.47,12/25/2025,1/30/2024
25877-566,27,Education Savings,4753.04,4113.59,9/4/2024,7/7/2025
96356-844,187,Education Savings,2379.66,2897.39,10/5/2016,1/26/2023
47781-256,163,Vacation Fund,2357.87,467.01,6/25/2016,11/19/2024
11372-830,168,Emergency Fund,4088.12,4915.44,9/5/2024,6/25/2025
03232-929,121,Education Savings,1643.12,2885.82,7/12/2024,1/15/2023
78167-362,1,Vacation Fund,2916.48,4469.04,6/9/2024,8/16/2025
04142-208,178,Long-term Investment,2568.12,4761.86,8/22/2021,6/22/2025
81481-983,33,Emergency Fund,1683.06,2649.96,1/28/2017,2/6/2025
08085-013,79,Vacation Fund,810.03,2720.58,1/12/2017,11/15/2022
57616-365,135,Vacation Fund,3038.01,1955.32,12/6/2015,10/16/2023
65235-229,132,Education Savings,1373.03,2866.57,7/2/2021,6/8/2022
68180-098,16,Long-term Investment,4358.22,2740.29,7/10/2016,2/11/2024
77699-164,150,Vacation Fund,844.19,3199.42,12/27/2021,3/3/2025
24550-036,16,Emergency Fund,4561.25,4327.38,1/16/2017,6/16/2025
83800-882,152,Vacation Fund,1400.02,1255.32,4/4/2024,2/2/2025
60820-332,73,Emergency Fund,1230.59,1063.17,7/5/2017,6/10/2024
65173-298,100,Vacation Fund,1534.96,1581.85,7/9/2018,5/19/2023
31061-208,181,Long-term Investment,1022.28,4527.6,7/12/2021,5/6/2024
43858-576,12,Vacation Fund,1315.5,1698.73,7/29/2024,8/2/2022
33991-973,4,Long-term Investment,4852.27,1100.2,8/23/2024,11/11/2023
73766-406,110,Emergency Fund,2252.75,3163.59,12/30/2016,10/9/2023
12320-352,188,Vacation Fund,2857.31,2589.61,4/7/2019,3/28/2025
69613-439,41,Vacation Fund,4157.47,3687.07,7/24/2022,8/1/2024
60657-427,105,Emergency Fund,4354.02,3020.08,6/2/2024,10/25/2024
95961-546,119,Education Savings,4099.3,1188.8,12/5/2023,1/31/2022
53310-625,173,Education Savings,1939.86,3334.08,1/19/2019,12/15/2024
95345-282,83,Long-term Investment,736.77,292.92,10/20/2020,6/27/2023
39793-540,159,Vacation Fund,4335.28,2323.61,9/7/2020,8/10/2022
62859-177,52,Long-term Investment,346.65,2557.06,4/12/2018,8/3/2023
33172-057,59,Long-term Investment,3203.55,4708.51,4/10/2017,11/5/2022
90515-054,3,Vacation Fund,3865.96,4509.49,9/4/2023,4/9/2022
30302-294,106,Education Savings,2729.06,4798.48,2/13/2025,9/18/2022
54533-757,68,Long-term Investment,2694.9,1104.11,10/7/2022,4/20/2023
71057-257,31,Emergency Fund,377.15,4745.92,1/19/2025,8/9/2023
33747-176,108,Emergency Fund,1356.46,4118.15,8/5/2019,12/26/2022
24543-840,61,Vacation Fund,1048.55,3923.38,9/20/2018,5/20/2024
05429-156,124,Vacation Fund,3017.64,4739.55,3/8/2020,9/4/2023
20974-482,40,Education Savings,1384.54,191.26,11/2/2022,3/19/2025
